iter	Accuracy	Logloss
0	0.844972067	0.6278519431
1	0.8784916201	0.5716740026
2	0.874301676	0.5400359707
3	0.8840782123	0.4872714521
4	0.8826815642	0.4595325008
5	0.8798882682	0.4236559198
6	0.8770949721	0.4004101705
7	0.8840782123	0.386161005
8	0.8882681564	0.3627287698
9	0.8938547486	0.3478857439
10	0.8980446927	0.3307297113
11	0.9008379888	0.3189703675
12	0.8966480447	0.3082468149
13	0.8966480447	0.2968921011
14	0.9008379888	0.2891189662
15	0.9022346369	0.2787305556
16	0.9120111732	0.2729595818
17	0.9134078212	0.2682930795
18	0.9134078212	0.26339026
19	0.9134078212	0.2615994272
20	0.9148044693	0.2548291454
21	0.9175977654	0.2520631488
22	0.9175977654	0.2474599471
23	0.9203910615	0.2401126408
24	0.9217877095	0.2364111591
25	0.9217877095	0.2338329496
26	0.9245810056	0.2300021622
27	0.9245810056	0.2280689893
28	0.9245810056	0.2258394123
29	0.9287709497	0.2224425239
30	0.9273743017	0.2193545772
31	0.9273743017	0.2148040385
32	0.9287709497	0.213323483
33	0.9315642458	0.2125006933
34	0.9329608939	0.20953828
35	0.9343575419	0.2055303374
36	0.9357541899	0.202861205
37	0.937150838	0.2001090681
38	0.937150838	0.1979085396
39	0.938547486	0.1949699197
40	0.9399441341	0.1936875844
41	0.9399441341	0.1919712407
42	0.9427374302	0.1895721461
43	0.9427374302	0.1862960294
44	0.9427374302	0.1853662785
45	0.9469273743	0.1827766043
46	0.9511173184	0.1809488957
47	0.9511173184	0.179520214
48	0.9497206704	0.1766990879
49	0.9497206704	0.1746699381
50	0.9497206704	0.173131749
51	0.9511173184	0.1695859235
52	0.9511173184	0.1664165307
53	0.9511173184	0.1641442449
54	0.9511173184	0.1617911095
55	0.9525139665	0.1602510389
56	0.9525139665	0.1570415169
57	0.9553072626	0.1535176834
58	0.9553072626	0.1524415799
59	0.9567039106	0.151236944
60	0.9581005587	0.1489845495
61	0.9581005587	0.1477155799
62	0.9581005587	0.1468415975
63	0.9594972067	0.1455962044
64	0.9608938547	0.1442347845
65	0.9608938547	0.1433630472
66	0.9622905028	0.1401696083
67	0.9622905028	0.1382736998
68	0.9636871508	0.134420421
69	0.9650837989	0.1313931379
70	0.9650837989	0.1298997994
71	0.967877095	0.1276194514
72	0.967877095	0.1269117743
73	0.967877095	0.126109668
74	0.967877095	0.1257443299
75	0.967877095	0.1251637131
76	0.9706703911	0.1239457444
77	0.9720670391	0.1213290888
78	0.9720670391	0.1207422338
79	0.9720670391	0.120047414
80	0.9734636872	0.1186624656
81	0.9720670391	0.1180507593
82	0.9734636872	0.1172188145
83	0.9734636872	0.1166545159
84	0.9734636872	0.1150652542
85	0.9748603352	0.1144456116
86	0.9762569832	0.1119496478
87	0.9776536313	0.1097853884
88	0.9790502793	0.1084361129
89	0.9790502793	0.1081962065
90	0.9790502793	0.1066658403
91	0.9762569832	0.1049975346
92	0.9762569832	0.1043045141
93	0.9776536313	0.1038764142
94	0.9776536313	0.1037636993
95	0.9790502793	0.1029766437
96	0.9790502793	0.1027157829
97	0.9818435754	0.1002599949
98	0.9874301676	0.09829761503
99	0.9874301676	0.09806129953
100	0.9888268156	0.09698156496
101	0.9888268156	0.09668811846
102	0.9902234637	0.096235686
103	0.9888268156	0.09423471946
104	0.9916201117	0.09350263188
105	0.9916201117	0.09280772088
106	0.9916201117	0.09232348737
107	0.9916201117	0.09084346703
108	0.9916201117	0.08997905791
109	0.9916201117	0.08903766961
110	0.9916201117	0.0882104277
111	0.9916201117	0.08708367232
112	0.9916201117	0.08678688449
113	0.9930167598	0.08497735131
114	0.9930167598	0.08412849729
115	0.9930167598	0.08289839067
116	0.9930167598	0.08183632594
117	0.9930167598	0.08001890749
118	0.9930167598	0.079059493
119	0.9944134078	0.07805911392
120	0.9944134078	0.07789500725
121	0.9944134078	0.07713002125
122	0.9944134078	0.07650799202
123	0.9944134078	0.07532316669
124	0.9958100559	0.07373513663
125	0.9958100559	0.07361244702
126	0.9958100559	0.07262501602
127	0.9958100559	0.07136235269
128	0.9972067039	0.07025864752
129	0.9972067039	0.07015493494
130	0.9958100559	0.06908578743
131	0.998603352	0.06760918798
132	0.998603352	0.06732903892
133	0.998603352	0.06637997375
134	1	0.06522696109
135	1	0.06441065838
136	1	0.06428738971
137	1	0.0633338157
138	1	0.06239014724
139	1	0.06164266328
140	1	0.06014583616
141	1	0.05933487834
142	1	0.05890325352
143	1	0.0587160787
144	1	0.05796161992
145	1	0.05760932263
146	1	0.05701557573
147	1	0.05589762961
148	1	0.05501195578
149	1	0.05463545527
150	1	0.05403888732
151	1	0.05386484019
152	1	0.05334948546
153	1	0.05233292096
154	1	0.05210016704
155	1	0.05121350797
156	1	0.05048188739
157	1	0.05007809275
158	1	0.04931389176
159	1	0.0486035833
160	1	0.04811719526
161	1	0.04762258825
162	1	0.04745593139
163	1	0.04696689017
164	1	0.04669063857
165	1	0.04605265597
166	1	0.04594702034
167	1	0.04563828443
168	1	0.0451959578
169	1	0.04488124156
170	1	0.04445750964
171	1	0.0442274534
172	1	0.04386843835
173	1	0.04350675051
174	1	0.04309942501
175	1	0.04266423822
176	1	0.0424926483
177	1	0.04224590848
178	1	0.04188360997
179	1	0.04149800471
180	1	0.040843859
181	1	0.04065837397
182	1	0.04058306188
183	1	0.04014803391
184	1	0.03980261391
185	1	0.03976246514
186	1	0.03949311765
187	1	0.03935694142
188	1	0.03896051845
189	1	0.03874749521
190	1	0.03847377005
191	1	0.03800528645
192	1	0.03768484521
193	1	0.03737970053
194	1	0.03735696111
195	1	0.03706108178
196	1	0.03679613782
197	1	0.03642622217
198	1	0.03620284969
199	1	0.03614639017
200	1	0.03601249082
201	1	0.03564864585
202	1	0.0351159124
203	1	0.03478866375
204	1	0.03460110295
205	1	0.03455712626
206	1	0.03424453959
207	1	0.03419109863
208	1	0.03416652256
209	1	0.03378007389
210	1	0.03334318483
211	1	0.03293448668
212	1	0.03289671407
213	1	0.03287130782
214	1	0.03255186954
215	1	0.03232132657
216	1	0.03205093044
217	1	0.03171764878
218	1	0.03158271594
219	1	0.03138217847
220	1	0.03111198188
221	1	0.03085795742
222	1	0.03069382531
223	1	0.03044252648
224	1	0.03037247575
225	1	0.03032573256
226	1	0.03022192536
227	1	0.03014929589
228	1	0.03010253267
