iter	Passed	Remaining
399	35498	8874
400	35582	8784
401	35662	8693
402	35801	8617
403	35888	8527
404	35979	8439
405	36056	8348
406	36136	8257
407	36226	8168
408	36325	8082
409	36409	7992
410	36493	7902
411	36580	7813
412	36665	7723
413	36800	7644
414	36885	7554
415	36962	7463
416	37040	7372
417	37136	7285
418	37221	7195
419	37309	7106
420	37403	7018
421	37487	6928
422	37565	6838
423	37660	6750
424	37743	6660
425	37879	6579
426	37961	6489
427	38041	6399
428	38122	6309
429	38204	6219
430	38288	6129
431	38377	6040
432	38460	5951
433	38540	5860
434	38620	5770
435	38693	5679
436	38774	5589
437	38900	5506
438	38981	5416
439	39074	5328
440	39159	5239
441	39255	5151
442	39351	5063
443	39438	4974
444	39513	4883
445	39606	4795
446	39690	4705
447	39786	4618
448	39919	4534
449	40008	4445
450	40093	4356
451	40167	4265
452	40257	4176
453	40336	4086
454	40417	3997
455	40501	3908
456	40574	3817
457	40653	3728
458	40742	3639
459	40829	3550
460	40993	3467
461	41082	3379
462	41162	3289
463	41257	3201
464	41341	3111
465	41418	3021
466	41499	2932
467	41573	2842
468	41654	2753
469	41753	2665
470	41844	2576
471	41929	2487
472	42051	2400
473	42131	2310
474	42216	2221
475	42298	2132
476	42394	2044
477	42479	1955
478	42568	1866
479	42660	1777
480	42748	1688
481	42830	1599
482	42919	1510
483	43011	1421
484	43130	1333
485	43245	1245
486	43341	1156
487	43431	1067
488	43527	979
489	43610	890
490	43701	801
491	43775	711
492	43863	622
493	43948	533
494	44024	444
495	44165	356
496	44251	267
497	44347	178
498	44425	89
499	44503	0
