iter	F1_TP	F1_TP+FP	F1_TP+FN	Logloss_SumError	Logloss_SumWeight
144	135	161	154	107.6745296	308
145	135	161	154	107.8426288	308
146	135	160	154	107.7527578	308
147	135	160	154	107.7292756	308
148	135	159	154	107.5695898	308
149	135	160	154	107.432514	308
150	135	160	154	107.330067	308
151	135	160	154	107.356077	308
152	136	160	154	107.2902855	308
153	136	160	154	107.5145862	308
154	136	160	154	107.501833	308
155	135	158	154	107.7680782	308
156	136	160	154	107.683687	308
157	136	160	154	108.1127449	308
158	136	160	154	108.2041388	308
159	135	159	154	108.1643166	308
160	135	159	154	108.1898301	308
161	135	159	154	108.2058481	308
162	135	159	154	108.0715924	308
163	135	159	154	107.5117127	308
164	135	159	154	107.4745017	308
165	135	159	154	107.4525785	308
166	135	159	154	107.409254	308
167	135	159	154	107.5493575	308
168	135	159	154	107.6520038	308
169	135	159	154	107.8333816	308
170	135	159	154	107.9086541	308
171	135	159	154	108.0194587	308
172	135	159	154	108.1056552	308
173	135	159	154	108.0232722	308
174	135	159	154	108.1690042	308
175	135	159	154	108.3484955	308
176	135	159	154	108.3548963	308
177	135	159	154	108.4181743	308
178	135	159	154	108.4520547	308
179	135	159	154	108.4284335	308
180	135	159	154	108.7257582	308
181	135	159	154	108.6663104	308
182	135	160	154	108.6049975	308
183	136	160	154	108.640507	308
184	136	160	154	108.4509062	308
185	136	161	154	108.4524114	308
186	136	161	154	108.4516701	308
187	136	160	154	108.225099	308
188	136	160	154	108.509779	308
189	136	160	154	108.4704827	308
190	136	161	154	108.5980993	308
191	136	161	154	108.3492414	308
192	136	160	154	108.0988949	308
193	136	160	154	108.093828	308
194	136	160	154	108.2322422	308
195	136	160	154	108.2181316	308
196	136	160	154	108.1876237	308
197	136	160	154	108.6267714	308
198	136	160	154	108.7286069	308
199	136	160	154	108.7188029	308
200	136	160	154	108.6477881	308
201	136	160	154	108.5519751	308
202	136	160	154	108.6894635	308
203	136	160	154	108.7280867	308
204	136	160	154	108.9068066	308
205	136	160	154	108.8700047	308
206	136	160	154	108.6997568	308
207	136	160	154	108.7705187	308
208	136	160	154	108.9356061	308
209	136	160	154	109.1866161	308
210	136	160	154	109.1672637	308
211	136	160	154	109.158266	308
212	136	160	154	109.3913059	308
213	136	160	154	109.6474154	308
214	136	160	154	109.8348791	308
215	136	160	154	109.8482434	308
216	136	160	154	109.9968244	308
217	136	160	154	110.1671531	308
218	136	160	154	110.2107464	308
219	136	160	154	110.2259525	308
220	136	160	154	110.247079	308
221	136	160	154	110.3410241	308
222	136	160	154	110.4067878	308
223	136	160	154	110.2250507	308
224	136	160	154	109.9574196	308
225	136	160	154	110.1237584	308
226	136	160	154	110.2299492	308
227	136	160	154	110.2965748	308
228	136	160	154	110.2776355	308
229	136	160	154	110.3711885	308
230	136	160	154	110.4845468	308
231	136	160	154	110.4770428	308
232	136	160	154	110.3111143	308
233	136	160	154	110.3848976	308
234	136	160	154	110.3639066	308
235	136	160	154	110.3287051	308
236	136	160	154	110.3249883	308
237	136	160	154	110.1435731	308
238	136	160	154	110.1542661	308
239	136	160	154	110.3336075	308
240	136	160	154	110.5054782	308
241	136	160	154	110.4301102	308
242	136	160	154	110.6787192	308
243	136	160	154	110.7868454	308
244	136	160	154	111.0667771	308
245	136	160	154	110.977178	308
246	136	160	154	111.096193	308
247	136	161	154	111.6099412	308
248	136	161	154	111.9073337	308
249	136	161	154	111.8492832	308
250	136	161	154	111.8488412	308
251	136	161	154	112.2282639	308
252	136	161	154	112.1214263	308
253	136	161	154	112.372783	308
254	136	161	154	112.3390695	308
255	136	161	154	112.361428	308
256	136	161	154	112.8042841	308
257	136	161	154	112.7869679	308
258	136	161	154	112.8014938	308
259	136	161	154	112.7130625	308
260	136	161	154	112.6983637	308
261	136	161	154	112.7791473	308
262	136	161	154	112.709886	308
263	136	161	154	112.9208022	308
264	136	161	154	113.2054463	308
265	136	161	154	113.2113293	308
266	136	161	154	113.1935618	308
267	136	161	154	113.6270349	308
268	136	161	154	113.6136414	308
269	136	161	154	113.5078524	308
270	136	161	154	113.6112914	308
271	136	161	154	113.7943035	308
272	136	161	154	113.7531054	308
273	136	161	154	113.6685324	308
274	136	161	154	113.8235157	308
275	136	161	154	113.9158825	308
276	136	161	154	113.9124234	308
277	136	161	154	114.1267322	308
278	136	161	154	114.2231411	308
279	136	161	154	114.4134996	308
280	136	161	154	114.8377068	308
281	136	161	154	114.8642569	308
282	136	161	154	114.9523258	308
283	136	161	154	115.0311725	308
284	136	161	154	114.9750192	308
285	136	161	154	114.9860462	308
286	136	161	154	114.9636674	308
287	136	161	154	115.0181852	308
288	136	161	154	115.2972033	308
289	136	161	154	115.2794967	308
290	136	161	154	115.2693617	308
291	136	161	154	115.5775141	308
292	136	161	154	116.1277014	308
293	136	161	154	116.1365009	308
294	136	161	154	116.1477757	308
295	136	161	154	116.4422621	308
296	136	161	154	116.4232948	308
297	136	161	154	116.3874608	308
298	136	161	154	116.4158589	308
299	136	161	154	116.7419336	308
300	136	161	154	116.5725387	308
301	136	161	154	116.6829916	308
302	136	161	154	116.9247474	308
303	136	161	154	117.1533721	308
304	136	161	154	117.147965	308
305	136	161	154	117.1869086	308
306	136	161	154	117.0575079	308
307	136	161	154	117.0186293	308
308	136	161	154	116.979603	308
309	136	161	154	117.1588739	308
310	136	161	154	117.0316792	308
311	136	161	154	116.9746595	308
312	136	161	154	116.9822685	308
313	136	161	154	116.8401973	308
314	136	161	154	116.7404652	308
315	136	161	154	116.7040749	308
316	136	161	154	116.8207635	308
317	136	161	154	116.9346897	308
318	136	161	154	116.9392033	308
319	136	161	154	117.0968286	308
320	136	161	154	117.1109905	308
321	136	161	154	117.246705	308
322	136	161	154	117.2402661	308
323	136	161	154	117.3415387	308
324	136	161	154	117.3071381	308
325	136	161	154	117.3519126	308
326	136	161	154	117.1925812	308
327	136	161	154	117.1294207	308
328	136	161	154	117.1413618	308
329	136	161	154	117.212017	308
330	136	161	154	117.3458702	308
331	136	161	154	117.3824625	308
332	136	161	154	117.436234	308
333	136	161	154	117.4559788	308
334	136	161	154	117.4706449	308
335	136	161	154	117.5438434	308
336	136	161	154	117.6101782	308
337	136	161	154	117.5254085	308
338	136	161	154	117.4956376	308
339	136	161	154	117.5939378	308
340	136	161	154	117.8710428	308
341	136	161	154	117.8032124	308
342	136	161	154	117.9917975	308
343	136	161	154	117.9814477	308
344	136	161	154	117.953702	308
345	136	161	154	117.9863286	308
346	136	161	154	118.2749405	308
347	136	161	154	118.4838275	308
348	136	161	154	118.6685855	308
349	136	161	154	118.6664023	308
350	136	161	154	118.7909788	308
351	136	161	154	118.6601526	308
352	136	161	154	118.8112279	308
353	136	161	154	118.8354678	308
354	136	161	154	118.8931236	308
355	136	161	154	119.023132	308
356	136	161	154	118.9843595	308
357	136	161	154	118.9973076	308
358	136	161	154	118.976659	308
359	136	161	154	119.010663	308
360	136	161	154	119.0555902	308
361	136	161	154	119.3079088	308
362	136	161	154	119.2598636	308
363	136	161	154	119.2674456	308
364	136	161	154	119.2844438	308
365	136	161	154	119.2657682	308
366	136	161	154	119.4205841	308
367	136	161	154	119.4909549	308
368	136	161	154	119.4938309	308
369	136	161	154	119.4051684	308
370	136	161	154	119.3961304	308
371	136	161	154	119.5062896	308
372	136	161	154	119.6007326	308
373	136	161	154	119.5636066	308
374	136	161	154	119.7958227	308
375	136	161	154	119.7802729	308
376	136	161	154	119.6541656	308
377	136	161	154	119.7950766	308
378	136	161	154	119.6550312	308
379	136	161	154	119.6314829	308
380	136	161	154	119.606517	308
381	136	161	154	119.5307144	308
382	136	161	154	119.6266753	308
383	136	161	154	119.6086179	308
384	136	161	154	119.6433977	308
385	136	161	154	119.4975589	308
386	136	161	154	119.5420832	308
387	136	161	154	119.5609854	308
388	136	161	154	119.5620058	308
389	136	161	154	119.4556145	308
390	136	161	154	119.4692051	308
391	136	161	154	119.7298584	308
392	136	161	154	119.6404933	308
393	136	161	154	119.6597477	308
394	136	161	154	119.6647837	308
395	136	161	154	119.6619613	308
396	136	161	154	119.6967654	308
397	136	161	154	119.6860925	308
398	136	161	154	119.6378432	308
399	136	161	154	119.5690763	308
400	136	161	154	119.5870123	308
401	136	161	154	119.6161324	308
402	136	161	154	119.6033232	308
403	136	161	154	119.5762642	308
404	136	161	154	119.5390662	308
405	136	161	154	119.4611891	308
406	136	161	154	119.2869731	308
407	136	161	154	119.336777	308
408	136	161	154	119.3644935	308
409	136	161	154	119.4062539	308
410	136	161	154	119.6305242	308
411	136	161	154	119.7579727	308
412	136	161	154	119.8498959	308
413	136	161	154	119.9203845	308
414	136	161	154	119.8780732	308
415	136	161	154	119.9216336	308
416	136	161	154	120.0794979	308
417	136	161	154	120.1110951	308
418	136	161	154	120.1946211	308
419	136	161	154	120.2480281	308
420	136	161	154	120.4471323	308
421	136	161	154	120.6560556	308
422	136	161	154	120.6126783	308
423	136	161	154	120.6845492	308
424	136	161	154	120.657534	308
425	136	161	154	120.716396	308
426	136	161	154	120.7455064	308
427	136	161	154	120.8754508	308
428	136	161	154	120.8833087	308
429	136	161	154	120.9630808	308
430	136	161	154	121.529947	308
431	136	161	154	121.6724116	308
432	136	161	154	121.7577381	308
433	136	161	154	121.8964828	308
434	136	161	154	121.9834875	308
435	136	161	154	122.0326291	308
436	136	161	154	121.9880505	308
437	136	161	154	121.9798923	308
438	136	161	154	122.1121629	308
439	136	161	154	122.1072804	308
440	136	161	154	122.5395129	308
441	136	161	154	122.6457193	308
442	136	161	154	122.619285	308
443	136	161	154	122.5616523	308
444	136	162	154	122.4709487	308
445	136	162	154	122.5345548	308
446	136	162	154	122.515833	308
447	136	162	154	122.6059037	308
448	136	161	154	122.6366214	308
449	136	162	154	122.5518951	308
450	136	162	154	122.7118793	308
451	136	161	154	122.8445779	308
452	136	161	154	122.8415841	308
453	136	161	154	122.946831	308
454	136	161	154	122.9342591	308
455	136	161	154	122.9524952	308
456	136	161	154	123.0098573	308
457	136	161	154	122.9843605	308
458	136	161	154	123.1152702	308
459	136	161	154	123.104818	308
460	136	161	154	123.1424515	308
461	136	161	154	123.1463131	308
462	136	161	154	123.2116987	308
463	136	162	154	123.5605181	308
464	136	162	154	123.6655796	308
465	136	162	154	123.6332244	308
466	136	162	154	123.5326355	308
467	136	162	154	123.5648269	308
468	136	162	154	123.4936495	308
469	136	162	154	123.4617918	308
470	136	162	154	123.4895037	308
471	136	162	154	123.5331728	308
472	136	162	154	123.4964425	308
473	136	162	154	123.470804	308
474	136	162	154	123.4257443	308
475	136	162	154	123.357374	308
476	136	162	154	123.6024473	308
477	136	162	154	123.5779282	308
478	136	162	154	123.5931941	308
479	136	162	154	123.7259421	308
480	136	162	154	123.9245234	308
481	136	162	154	123.9349854	308
482	136	162	154	124.0590331	308
483	136	162	154	124.4214892	308
484	136	162	154	124.4451796	308
485	136	162	154	124.4449663	308
486	136	162	154	124.4701502	308
487	136	162	154	124.5685289	308
488	136	162	154	124.703542	308
489	136	162	154	124.8423611	308
490	136	162	154	124.8837544	308
491	136	161	154	124.9994159	308
492	136	161	154	124.9933371	308
493	136	162	154	125.0912896	308
494	136	161	154	125.0855467	308
495	136	161	154	124.9571575	308
496	136	161	154	125.1220253	308
497	136	161	154	125.1027187	308
498	136	161	154	125.1026491	308
499	136	161	154	125.0995413	308
