iter	Accuracy	Logloss
0	0.8673184358	0.6107028573
1	0.8770949721	0.5497060921
2	0.8770949721	0.5013577973
3	0.8910614525	0.4581533506
4	0.8854748603	0.4235212577
5	0.8924581006	0.3914096226
6	0.8994413408	0.3747152388
7	0.8966480447	0.3578213644
8	0.8966480447	0.345311957
9	0.9022346369	0.3295266519
10	0.9008379888	0.3199660575
11	0.9008379888	0.3124616248
12	0.9036312849	0.300111721
13	0.9036312849	0.2917403167
14	0.9078212291	0.2836849682
15	0.906424581	0.2769021636
16	0.9078212291	0.2704040255
17	0.9078212291	0.266925782
18	0.9148044693	0.2615778518
19	0.9148044693	0.2608577329
20	0.9203910615	0.2558208104
21	0.9189944134	0.2499606926
22	0.9203910615	0.243468851
23	0.9245810056	0.2378926286
24	0.9259776536	0.230613871
25	0.9245810056	0.2270614271
26	0.9245810056	0.225521116
27	0.9287709497	0.2211142529
28	0.9287709497	0.2205435781
29	0.9245810056	0.2176757526
30	0.9287709497	0.2144581527
31	0.9315642458	0.2119920269
32	0.9329608939	0.2113790498
33	0.9315642458	0.2087200892
34	0.9329608939	0.2073945399
35	0.9399441341	0.2033291101
36	0.9441340782	0.1994722521
37	0.9427374302	0.1975134001
38	0.9413407821	0.1962658478
39	0.9441340782	0.1937305641
40	0.9469273743	0.1902394065
41	0.9483240223	0.1874322063
42	0.9497206704	0.1849821875
43	0.9525139665	0.1832812434
44	0.9525139665	0.1828224944
45	0.9567039106	0.1805997464
46	0.9567039106	0.1789847613
47	0.9567039106	0.1776400832
48	0.9581005587	0.176307603
49	0.9594972067	0.1739179929
50	0.9594972067	0.172601826
51	0.9594972067	0.1719323407
52	0.9608938547	0.1690515043
53	0.9608938547	0.1670407052
54	0.9608938547	0.1640818063
55	0.9608938547	0.1620959771
56	0.9594972067	0.1590458928
57	0.9594972067	0.1579783521
58	0.9594972067	0.1564291734
59	0.9608938547	0.1537073347
60	0.9622905028	0.1516904995
61	0.9622905028	0.1489712458
62	0.9622905028	0.1473389676
63	0.9650837989	0.1456891482
64	0.9650837989	0.1449122789
65	0.9650837989	0.1433075349
66	0.9664804469	0.1421683539
67	0.9650837989	0.1408955875
68	0.9664804469	0.1403885695
69	0.9650837989	0.1396119614
70	0.9664804469	0.1390202744
71	0.9664804469	0.1385427097
72	0.9664804469	0.1380211697
73	0.9650837989	0.1356966019
74	0.9650837989	0.135596207
75	0.9664804469	0.134593714
76	0.967877095	0.1336754527
77	0.9664804469	0.1325151486
78	0.9664804469	0.1299395605
79	0.969273743	0.1287855521
80	0.969273743	0.1272259946
81	0.969273743	0.1252110468
82	0.9706703911	0.1242722239
83	0.9762569832	0.121287041
84	0.9776536313	0.1206078901
85	0.9790502793	0.1200895118
86	0.9790502793	0.118234516
87	0.9804469274	0.1177563981
88	0.9804469274	0.1165315881
89	0.9804469274	0.1150527079
90	0.9832402235	0.1137726148
91	0.9832402235	0.1124189636
92	0.9832402235	0.1107170838
93	0.9832402235	0.1098014412
94	0.9846368715	0.1072056321
95	0.9846368715	0.1061742412
96	0.9846368715	0.1044701123
97	0.9860335196	0.1034703044
98	0.9860335196	0.1032007703
99	0.9846368715	0.1019692846
100	0.9860335196	0.1004221503
101	0.9860335196	0.09894111086
102	0.9860335196	0.09804317427
103	0.9860335196	0.09677514113
104	0.9860335196	0.09555689504
105	0.9860335196	0.09439868488
106	0.9860335196	0.09413084698
107	0.9874301676	0.09250175575
108	0.9874301676	0.0911731985
109	0.9874301676	0.09048297455
110	0.9902234637	0.08884921828
111	0.9902234637	0.08814760578
112	0.9916201117	0.08740438281
113	0.9916201117	0.08618177015
114	0.9930167598	0.08400285306
115	0.9902234637	0.08247069152
116	0.9916201117	0.08175087633
117	0.9916201117	0.08124123125
118	0.9930167598	0.08018254831
119	0.9930167598	0.0792971007
120	0.9930167598	0.078763951
121	0.9958100559	0.07745114647
122	0.9958100559	0.07625413098
123	0.9944134078	0.07585827291
124	0.9944134078	0.07470125637
125	0.9944134078	0.07365521721
126	0.9958100559	0.07252589879
127	0.9972067039	0.07158523756
128	0.9972067039	0.07092564221
129	0.9972067039	0.07081693019
130	0.9972067039	0.07024053738
131	0.9972067039	0.06907248415
132	0.9972067039	0.06867467849
133	0.9972067039	0.06778538072
134	0.9972067039	0.06765612103
135	0.998603352	0.06697315314
136	0.998603352	0.0668387338
137	0.998603352	0.06603304359
138	0.998603352	0.06470143419
139	1	0.06412279712
140	1	0.06303999411
141	1	0.06222299457
142	1	0.06189172983
143	1	0.06159534346
144	1	0.0612649096
145	1	0.06066225098
146	1	0.05996951093
147	1	0.05979933188
148	1	0.05835548516
149	1	0.05777477844
150	1	0.05714042104
151	1	0.05654701744
152	1	0.0553750748
153	1	0.05421503528
154	1	0.05343890787
155	1	0.05296102942
156	1	0.05248121212
157	1	0.05206871256
158	1	0.05147827446
159	1	0.05110563325
160	1	0.05068520781
161	1	0.0498011685
162	1	0.04930249438
163	1	0.04894149736
164	1	0.04792357107
165	1	0.04778208832
166	1	0.04710690747
167	1	0.04702140342
168	1	0.04653607891
169	1	0.04588075025
170	1	0.04546634229
171	1	0.04474631871
172	1	0.04466920904
173	1	0.04455475132
174	1	0.04379153255
175	1	0.04335322816
176	1	0.04320671378
177	1	0.04267509094
178	1	0.04248457872
179	1	0.04195089907
180	1	0.04182962944
181	1	0.04174610454
182	1	0.04136573639
183	1	0.04110312834
184	1	0.04069954403
185	1	0.04056667949
186	1	0.04042443196
187	1	0.04031960853
188	1	0.03963264383
189	1	0.03873353201
190	1	0.03853613684
191	1	0.03795207606
192	1	0.03771086131
193	1	0.03743858088
194	1	0.03715965308
195	1	0.03676614964
196	1	0.03647324573
197	1	0.03618858746
198	1	0.03595770956
199	1	0.03576290306
200	1	0.03541916749
201	1	0.03532995471
202	1	0.03502424773
203	1	0.03483985523
204	1	0.03466395491
205	1	0.03439556778
206	1	0.03431650375
207	1	0.03407635559
208	1	0.03360086594
209	1	0.03326399081
210	1	0.03323370121
211	1	0.03306474681
212	1	0.03282517669
213	1	0.03259087178
214	1	0.03248654814
215	1	0.03203395468
216	1	0.03173601144
217	1	0.0314647343
218	1	0.03143167737
219	1	0.03127681684
220	1	0.03115557645
221	1	0.03075303758
222	1	0.03066398405
223	1	0.03039826103
224	1	0.03026289484
225	1	0.02978782403
226	1	0.02952986519
227	1	0.02932621592
228	1	0.02908117857
229	1	0.02901168191
230	1	0.02867398139
231	1	0.02853258789
232	1	0.02849711864
233	1	0.02839162618
234	1	0.02833233074
235	1	0.02805270099
236	1	0.02786346922
237	1	0.02767845268
238	1	0.02733834839
239	1	0.02699297911
240	1	0.026933542
241	1	0.02684500611
242	1	0.02672251375
243	1	0.02664067671
244	1	0.02625332405
245	1	0.02600378519
246	1	0.02573180547
247	1	0.02542279756
248	1	0.0253213076
249	1	0.0250845853
250	1	0.02493411689
251	1	0.02489381883
252	1	0.0246811104
253	1	0.02465362536
254	1	0.02459419346
255	1	0.02454939663
256	1	0.02431776563
257	1	0.0241855526
258	1	0.02407719823
259	1	0.02400247521
260	1	0.02396902943
261	1	0.02384245768
262	1	0.02371592474
263	1	0.02337679341
264	1	0.02312532675
265	1	0.02310144453
266	1	0.02308780064
267	1	0.02303483023
