iter	Passed	Remaining
0	83	41517
1	111	27658
2	135	22481
3	159	19761
4	177	17601
5	195	16083
6	210	14800
7	224	13778
8	244	13343
9	265	13004
10	281	12513
11	294	11986
12	312	11697
13	331	11498
14	351	11369
15	369	11171
16	385	10950
17	402	10788
18	420	10644
19	428	10294
20	439	10016
21	455	9891
22	471	9787
23	492	9758
24	509	9679
25	528	9629
26	536	9404
27	550	9280
28	557	9049
29	570	8940
30	587	8881
31	602	8817
32	611	8651
33	624	8559
34	637	8467
35	651	8400
36	672	8412
37	689	8388
38	699	8269
39	712	8198
40	726	8129
41	746	8139
42	761	8090
43	777	8062
44	787	7958
45	802	7918
46	820	7905
47	833	7850
48	850	7831
49	862	7765
50	878	7738
51	891	7678
52	906	7643
53	919	7593
54	930	7526
55	948	7520
56	968	7530
57	985	7510
58	1001	7486
59	1016	7451
60	1035	7454
61	1053	7441
62	1075	7457
63	1087	7411
64	1102	7378
65	1113	7323
66	1130	7303
67	1148	7294
68	1163	7267
69	1179	7246
70	1195	7223
71	1206	7170
72	1221	7142
73	1241	7145
74	1251	7089
75	1267	7071
76	1281	7042
77	1298	7027
78	1317	7018
79	1347	7075
80	1368	7078
81	1387	7071
82	1413	7099
83	1431	7090
84	1447	7067
85	1465	7055
86	1482	7039
87	1500	7026
88	1520	7020
89	1534	6990
90	1549	6964
91	1568	6956
92	1587	6945
93	1606	6939
94	1622	6916
95	1640	6902
96	1656	6881
97	1676	6876
98	1693	6859
99	1709	6838
100	1720	6797
101	1739	6787
102	1754	6762
103	1775	6758
104	1791	6738
105	1809	6725
106	1822	6692
107	1838	6674
108	1858	6665
109	1876	6654
110	1892	6633
111	1912	6624
112	1930	6612
113	1947	6593
114	1965	6581
115	1985	6572
116	2000	6547
117	2014	6522
118	2031	6504
119	2046	6481
120	2062	6461
121	2077	6435
122	2094	6418
123	2110	6398
124	2124	6373
125	2137	6344
126	2155	6329
127	2172	6314
128	2190	6299
129	2206	6279
130	2221	6258
131	2237	6238
132	2259	6234
133	2277	6221
134	2289	6190
135	2304	6168
136	2317	6140
137	2333	6121
138	2352	6109
139	2367	6086
140	2385	6074
141	2402	6056
142	2417	6035
143	2434	6019
144	2449	5995
145	2466	5979
146	2483	5963
147	2500	5946
148	2520	5938
149	2536	5918
150	2554	5903
151	2569	5882
152	2589	5873
153	2606	5855
154	2619	5829
155	2630	5800
156	2650	5789
157	2667	5774
158	2683	5755
159	2702	5742
160	2717	5722
161	2735	5707
162	2749	5684
163	2763	5660
164	2780	5644
165	2791	5615
166	2804	5592
167	2822	5577
168	2841	5566
169	2860	5552
170	2881	5543
171	2911	5551
172	2930	5538
173	2946	5520
174	2968	5513
175	2985	5495
176	3002	5478
177	3018	5461
178	3032	5438
179	3051	5424
180	3058	5391
181	3076	5375
182	3096	5363
183	3114	5349
184	3129	5329
185	3146	5312
186	3167	5300
187	3183	5283
188	3200	5266
189	3216	5248
190	3232	5228
191	3246	5207
192	3264	5192
193	3280	5175
194	3295	5154
195	3314	5140
196	3332	5125
197	3350	5111
198	3371	5100
199	3389	5083
200	3407	5069
201	3416	5040
202	3429	5017
203	3444	4997
204	3458	4977
205	3478	4964
206	3494	4945
207	3509	4926
208	3525	4908
209	3542	4892
210	3560	4877
211	3575	4857
